user,followers
phonedude_mln,625
mmicros1,2
74paddycakes,2
digitopia_nl,17
PruittAL,408
brendaberkelaar,200
CassPF,2582
OKMotovlog,176
mekonkol,652
Stesker3D,219
HussamHallak1,0
carolc16,15
printuu,47
dtscnc,139
Tunaz_Islam,17
MeredithA,9603
MeghanHoyer,1720
AntonJRasmussen,5
LuytenBram,249
MohdKamal6,87
pmyoung84,338
Karki693,21
BL_Labs,4278
IntelligenceTV,231950
maheedhargunnam,1
nattiyak,626
marcinwilkowski,724
minornotez,11
katestarbird,3965
ACMSIGIR,475
claussni,194
njcomputergroup,1729
ARLIS_NY,1321
artlibrariannyc,259
Wikicite,743
ChiefScientist,3207
ODUPeninsulaCtr,10
lmercereau,1721
Hindawi,2160
es_land,4
KennyDiedrich,22
JDecourselle,14
RikerHampton,59
ODUAlumni,2644
pampel,1327
stierholz,217
salamancaschool,15
space360vr,439
arjenpdevries,1697
HBee2015,498
subsublibrary,2054
jubrogers,557
mbutel,705
detailmatters,848
acquire_UCLA,175
kzwa,1114
lysander07,1481
ChrisAldrich,1781
sheershasamach1,73
jcdl2017,165
permacc,320
KhTalha6,8
Jack_Stran,3
AngelaWoodall,2868
bruno_leonard_,1234
datacartel1,567
RJIJDNA,529
FredericikB,676
pvanhaitsma,741
robin_ruggaber,44
Cee_Finley,8
woilgoo,98
seamuslawless,1094
KevinLevrone3,151
Mementoweb,33
cazzerson,1062
foucaultwelles,887
mdzellerCDAL,32
robinmkatz,1111
mrchyr,1820
mre1920,529
saadaitomation,353
jessicasmith541,822
bumdots4eva,57
walkeroh,650
CRajaharsha,0
infod1va,265
lili_czarina,4784
Oorlogsbronnen,378
annika_hinze,20
internetarchive,80631
mridulish,3
Dr_Abomohra,44
helgeho,62
idokius,30645
zhaohuan_wang,3
PolitAdArchive,1232
nwatzman,1085
John_B_Howard,892
CScoutTech,184
avadigs,540
XYOU,56
theovv,40
ruebot,1660
_mstevenson,646
KingsleySteph,751
AndreaGoethals,111
normeu,5
BelaGipp,60
MyriamCTraub,86
White__Knuckles,883
TEILandmark,433
tmeehleib,46
Mohamma47262302,9
dbpedia,1599
amlhasbat,3
bitarchivist,374
rebeccaholte,32
doviethung,19
chrisfreeland,1524
DavidUnderdown9,2852
sooraya_sadulla,11
JakeOrlowitz,1823
CLIRDLF,4678
kraabus,31
NicolaJBingham,151
carole_gagne,10
Fernando___Melo,4
HugoAViana,9
1n9r1d,2194
Mittrach_garten,3
ArnoudGoos,4
MarkGraham,1010
HollyCroft,730
SPARC_NA,8294
oaisdujour,554
KarenKvaughan,3
6T7VXu11XcTiAbd,8
bicho_daniel,24
abziegler,1273
TueHLarsen,7
lookouthoney,1095
hollips,84
GardnerCampbell,5979
Miel_vds,659
peripatesis,414
dswarm,284
Manoj_Chandra11,63
DevAhmedhosni,91
dineshpaladhi,62
noumenal_woman,1343
rdayMedia,543
ErichdotPy,29
DanKerchner,244
risse691,63
IuliaCristina12,121
fromADMwithlove,476
AndreeaCorinaM2,329
PSleeman,705
Shaaban_Migo,2
knmnyn,221
mgome0072,18
majetisiri,38
futuresma,1218
dhombe3,7
SIGIR17,723
lmaccork,530
LarryWilson1942,27
JayNuetron,1687
wospworkshop,64
NetLab_dk,59
SalimChemlal,307
EmeraldIKM,673
ShathaJY,2515
CrowNaito,4
EmeraldLibrary,899
clem_kev,44
digiarchiveteam,254
9ulovesu,73
manoj_chandra_k,11
landlibrarian,1033
CodioHQ,6437
johnaberlin,31
ryanfb,891
andrewjbtw,997
documentnow,1051
elizhoagcarhart,23
erikaris,67
DanMilanko,7
j_w_baker,3501
archivportal,1395
desouzatech,2297
tjowens,6290
badgerhartman,88
TrueHiddenFact,3799
keesone,328
impactzoneco,262
KarolHolu,43
topgolfvabeach,3426
JohnChangGWU,55
icdm2016,502
mamund,9921
brijmohanrana4,17
imafuturemedic,656
euanc,1492
dwhitenist,342
samalanmeister,720
shirapeltzman,1423
iamtimmo,253
J_IreneTieman,309
dmimno,1648
Pravacana_Mats,285
daniel_rehn,8648
wwwtxt,26604
docmattweber,911
fzaker,31
ODUAuxServices,187
skhartmann,81
crobinj7074,13
Educopia,329
silvertje,4942
kaylamarie0110,19
WolframElvis,1
cbmrccc,1324
zeonfernando,29
Thaer_samar,19
alexwade,657
WeskerAlbert777,9
TPDL2016,131
ijdl,143
jcdl2016,136
jessili,236
anatbd,308
JoeLemanski,11
rwincewicz,39
gjfowler,15
GraemeEarl,1532
e_mccain,503
karensnet,5
involutish,6
hdo003,1
Naima3704,7
masroorfreaks,30
HamptonRFinest,11191
kennethec1,72
oso525gang,24
vincelebow,1146
andy_anjoyh,264
BrosephElder,16
kingswebit,143
goodenjm,5
vneblitt,36
KyleFJackson,2
FFuqiang,409
TaksNz,401
ziadmatni,61
westfood,94
OpenMaze,42
BrianDavison,590
nanopub_org,309
txkuhn,682
syamiliC,34
maikhanhlam,131
katjakra,4
NgYewli,14
paulwalk,1589
f_nanni,380
trinketapp,2493
nichworby,13
thefaisalahmad,21
rundavidrun,2730
ODURugby_,723
NielsBr,854
kurtluther,1540
Arkivum,1540
vector_ctrl,270
calpopp,285
palewire,5729
JoshCowls,898
JS_Smith_71,4
downey_cara,168
Reloaded2Boot,229
lintool,8619
johanna_lautner,111
uskudarli,667
felipebravom,186
seahorseadmirer,7
SteveMcLaugh,1272
lestextesR,733
ArchivingIt,75
elunca,1010
rosalielack,168
williamjturkel,3499
ekansa,2117
AliShamim333,7
beyondcitation,610
cklk90,35
bertramlyons,1403
JStoddert,10
continuants,3598
tsuomela,557
SarahBellefleur,117
DataG,1113
narfman0,50
CorrenMcCoy,17
wosp2015,42
BeeneSteph,378
PapachriL,18
MPanula,27
JenServenti,3413
HistWebArchives,572
shajid333,223
prwheatley,1542
JonesWCaleb,344
ELittley,7
JCDLConf,131
AllThingsGraph,168
robina_naazli,746
jessogden,1881
technelily,255
joemcgonegal,858
liblaura,426
bodhisattvaOS,114
brettbobley,6236
ForgetITProject,245
oreficeplumbing,508
SoftGid_com,252
LyndaLSF,55
zimeon,103
unmil,174
zittrain,39141
ptrourke,207
WessamElhefnawy,116
Moha_Magdy,762
gauravguptak1,57
_akisato,1191
IgorBrigadir,1435
WebART12,182
DrAinenwar,2
lisallynch,1512
AlinaDeniau,1709
StanfordLibs,2876
digitalfay,1549
IngeRudomino,15
5280BigData,1164
karenhansn,82
todrobbins,1893
abugseye,745
mlzman,57
taylor_amy,467
weblawlib,983
EJWalters,3720
ReedTechCorp,248
LizCohee,23
WehoMan88,95
djw0952,511
cyberlaw,4286
aag1091,601
dhowell,11203
PoorOldMoot,5
jcdl2015,63
annediaz01,84
Paisadalo,374
meterz1,3
MildlyBored,7
GetDownODU,346
jkamps,634
TimelessFuture,160
GJST,95
RossiAtanassova,943
bindonlane,480
northgardner,24
LulwahMA,34
momof3inov,14
emcaulay,347
doppelen,120
mgallinger,112
MonarchsAimHigh,683
Sandra_Mason,163
lnsails,2
chrislaoscott,68
save4use,1571
History2point0,10
archivelle,1129
jesseajohnston,1278
perrycollins,795
BergisJules,2094
plamen26968325,20
webrecorder_io,877
acnwala,119
isi2015conf,307
_matef,175
jotschirr,190
forschungsdaten,1335
petrknoth,270
GrahamSeaman,79
n_audenaert,86
this_phillips,226
ohttic,254
DLWebBnF,2176
DLWeb_Seb,42
saraaubry,253
acocciolo,665
jefferson_bail,2052
jasonmarkwebber,949
WOSP2014,84
migcosta,141
ianmilligan1,3828
peterkz_swe,3150
lorcanD,6838
RaifordGuins,232
oducs,142
iPRESconf,142
saschel,1506
DLib2014,95
jsicot,1216
NeilMonday,63
DialUCL,262
DrDanetteAllen,177
K4arkive,305
squealermusic,252
jalbertbowdenii,1801
DigiCultureKCL,1927
xabuci,617
CommonCrawl,3044
AutonomyIncub8r,384
jteevan,2649
dchud,2046
MellissaBuys,562
mummifyit,154
EdelOShea83,168
erinengle,783
opba,492
RSSNewsmaster,1124
zxie,52
rodwittenberg,249
Antenna_Lab,1093
AnnaPerricci,474
ruyhliu,390
Strollerman,426
kberberi,537
thabing,43
unstablearchive,474
NancyAjarmeh,267
amaranaas,1
maturban1,80
SciTechProf,1305
beatles__beatle,12
KyleStr,482
PeterOnymos,28
MaxKemman,1103
WebSciDL,229
jakkbl,175
samy_tawab,190
jschneider,2727
Milena_Dobreva,157
iFromm,805
Philipp_Mayr,580
violetailik,424
cgknowles,778
GerhardGossen,131
kvanmalssen,1449
chrisbellekom,2453
itroch,162
TessaFallon,543
toinette1607,13
StanZheng,932
SimpleSimon2013,9
PeerProd,708
subotic,326
mdiazdigpres,56
AVArchivist,984
erikchoi,428
chglass,3
usa8951,30
RajnishMallick,41
tamingdata,190
NKrabben,719
ISRJINDIA,1192
myerscarpenter,236
smalljones,4557
peplluis7,473
kristsi,287
athurman,196
covenant_ws,147
ibnesayeed,449
pj_webster,2407
GerdaMueller2,179
archiveis,1293
FjellHenning,10
stevehit,790
clarellewellyn,119
UKWebArchive,5169
bethcron,537
inadlweb,942
AricAumann,113
www2013rio,874
iPRES2013,176
metalinker,155
joc7188,56
kzakza,2078
ehetzner,53
Mercedesew211,131
archivesmatter,1504
yasmina_anwar,374
WSUNDSA,131
CamtheWicked,54
RjLyric,350
aheshamSalem,263
abrennr,339
archivetype,946
mcdonald,2531
rdhyee,1970
hryanski,494
ttso,735
tpdl2017,247
stillinsky,328
NorfolkVA_,163
klischka,21111
tedlawless,258
hariharshankar,32
kevingashley,1762
mjgiarlo,1572
vphill,670
trevormunoz,4464
WebArchivists,1264
bfluzin,11919
Jakdemir,482
AlephArchives,246
GeorgeRBuchanan,325
wrap_ed,477
OpenResearchExe,1142
ldmm,173
ericleasemorgan,557
pigandpublish,111
lwynholds,82
MonicaDYOIart,490
WPKefi,365
Milbala,1
jcdl2013,310
schuurmanna,99
mzarro,478
cni_org,2972
THEBenLeBrun,377
junklight,463
gmj2053,59
Magda69425548,1110
mwittin,845
JesseforCouncil,486
BeachAutoBroker,74
ahmedkalka97,0
DwiDwisyafitri,1
grotophorst,308
maherzog,274
margymavery,1328
plbogen,69
xuxomln,51
SouthernKiaGB,312
atomotic,808
edsu,4564
machawk1,343
kylewilliams87,135
Alisia1092,28
pre11e,32
tywalters1,442
ldirks,331
jcdl2012,67
landeart,25
witch_doctor81,0
NetPreserve,1753
NDSA2,1627
pkeane,834
meblake,52
unknown_6,0
BizApproved,11
Erikfreiser,433
AAlasaadi,84
archiveitorg,3582
awptix,5
klhiggins33,99
ChuChoResano,77
fmccown,372
diglib,216
hhockx,900
RobVesse,768
anjacks0n,1739
Faryane,17
lljohnston,2050
mart1nkle1n,506
smartfit_atees,395
furuta,82
Ghozia,62
aalsum,407
joansm1th,29
MarthaBunton,616
AT_Webarchive,447
sorgentelinda,80
agrotke,1278
sspranay,16
Galsondor,141
shawnmjones,213
jgsmith,429
bhaslhofer,223
sshreeves,2411
TagTrees,215
kboughida,1488
mousta,506
TeriBerg96,91
nullhandle,990
twarko,1963
k8lin,670
OTHSEAFOOD,152
HCIR_GeneG,796
hanysalaheldeen,181
hochstenbach,1106
carltonnorthern,131
olyerickson,676
williamjnixon,1533
justinfbrunelle,230
weiglemc,205
umurthy,144
blefurgy,2161
Julibabe21,9
azaroth42,1484
hvdsomp,1572
ccmarshall,715
